trade_date,market_type,underlying,contract_month,underlying_price,call_wall,put_wall,price_wall,gex_flip,gamma_regime,net_gex,total_abs_gex,normalized_net_gex,price_wall_distance,confidence_score,confidence_label,market_structure_state,future_open_price_1d,future_high_price_1d,future_low_price_1d,future_price_1d,future_price_3d,future_price_5d,future_return_1d,future_return_3d,future_return_5d,tested_call_wall_1d,tested_put_wall_1d,tested_price_wall_1d,same_day_dual_wall_touch_1d,intraday_sequence,touch_call_wall,break_call_wall_1d,call_wall_reject_1d,touch_put_wall,break_put_wall_1d,put_wall_bounce_1d,near_price_wall,price_wall_magnet_1d,price_wall_magnet_3d,price_wall_magnet_5d,gamma_flip_cross_1d,gamma_flip_cross_3d,gamma_flip_cross_5d,next_abs_return_1d,next_abs_return_3d,next_abs_return_5d,event_quality,validation_method
2026-08-14,COMMODITY,a,2703,5026.0,,,5000.0,,,,,,-0.005173099880620757,,,,,,,,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,pending,pending
2026-08-14,COMMODITY,a,2705,5096.0,,,5600.0,,,,,,0.098901098901099,,,,,,,,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,pending,pending
2026-08-14,COMMODITY,a,2707,5103.0,,,5400.0,,,,,,0.05820105820105814,,,,,,,,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,pending,pending
2026-08-14,COMMODITY,ad,2609,23110.0,,,23400.0,,,,,,0.012548680225010767,,,,,,,,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,pending,pending
2026-08-14,COMMODITY,ad,2610,23135.0,,,22800.0,,,,,,-0.014480224767668082,,,,,,,,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,pending,pending
2026-08-14,COMMODITY,ag,2609,15698.0,,,15000.0,,,,,,-0.044464262963434864,,,,,,,,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,pending,pending
2026-08-14,COMMODITY,ag,2610,15722.0,,,16000.0,,,,,,0.017682228724080984,,,,,,,,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,pending,pending
2026-08-14,COMMODITY,ag,2612,15754.0,,,35900.0,,,,,,1.2787863399771489,,,,,,,,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,pending,pending
2026-08-14,COMMODITY,ag,2702,15779.0,,,18000.0,,,,,,0.14075670194562395,,,,,,,,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,pending,pending
2026-08-14,COMMODITY,al,2609,23885.0,,,24000.0,,,,,,0.004814737282813564,,,,,,,,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,pending,pending
