exchange,commodity,underlying,contract_month,strike,call_oi,put_oi,total_oi,call_volume,put_volume,total_volume,call_amount,put_amount,total_amount,price_wall_score
CZCE,AP,AP,2701,8200.0,25.0,3.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006217025508192983
CZCE,AP,AP,2701,8300.0,30.0,3.0,33.0,1.0,0.0,1.0,1100.0,0.0,1100.0,0.020018181549613635
CZCE,AP,AP,2701,8400.0,31.0,3.0,34.0,1.0,0.0,1.0,1000.0,0.0,1000.0,0.01906897120205335
CZCE,AP,AP,2701,8500.0,22.0,0.0,22.0,1.0,0.0,1.0,800.0,0.0,800.0,0.014877303591954855
CZCE,AP,AP,2701,8600.0,36.0,0.0,36.0,4.0,0.0,4.0,2960.0,0.0,2960.0,0.03428477658432504
CZCE,AP,AP,2701,8700.0,609.0,0.0,609.0,3.0,0.0,3.0,1695.0,0.0,1695.0,0.13620626573706265
CZCE,AP,AP,2701,8800.0,1157.0,0.0,1157.0,190.0,0.0,190.0,83600.0,0.0,83600.0,0.33862255303395283
CZCE,CF,CF,2609,12200.0,127.0,2016.0,2143.0,0.0,20.0,20.0,0.0,100.0,100.0,0.28340162884537995
CZCE,CF,CF,2609,12400.0,140.0,606.0,746.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14072115773959792
CZCE,CF,CF,2609,12600.0,151.0,738.0,889.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16179553790488718
CZCE,CF,CF,2609,12800.0,152.0,704.0,856.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15745669492968056
CZCE,CF,CF,2609,13000.0,159.0,1495.0,1654.0,0.0,6.0,6.0,0.0,60.0,60.0,0.2450379858708344
CZCE,CF,CF,2609,13200.0,183.0,1225.0,1408.0,0.0,44.0,44.0,0.0,440.0,440.0,0.23330613994385685
CZCE,CF,CF,2609,13400.0,279.0,913.0,1192.0,0.0,58.0,58.0,0.0,580.0,580.0,0.2169902431244479
CZCE,CF,CF,2609,13600.0,544.0,1835.0,2379.0,0.0,43.0,43.0,0.0,430.0,430.0,0.304525645059461
CZCE,CF,CF,2609,13800.0,565.0,1970.0,2535.0,0.0,12.0,12.0,0.0,120.0,120.0,0.3009220901256982
CZCE,CF,CF,2609,14000.0,801.0,5995.0,6796.0,0.0,219.0,219.0,0.0,3285.0,3285.0,0.47166804755474867
CZCE,CF,CF,2609,14200.0,560.0,4168.0,4728.0,0.0,526.0,526.0,0.0,7890.0,7890.0,0.5018417863792134
CZCE,CF,CF,2609,14400.0,1013.0,2652.0,3665.0,0.0,241.0,241.0,0.0,6025.0,6025.0,0.4244847958385979
CZCE,CF,CF,2609,14600.0,1173.0,2705.0,3878.0,0.0,317.0,317.0,0.0,9510.0,9510.0,0.4550227234507954
CZCE,CF,CF,2609,14800.0,1649.0,7901.0,9550.0,0.0,1759.0,1759.0,0.0,96745.0,96745.0,0.7210503381480033
CZCE,CF,CF,2609,15000.0,3603.0,27693.0,31296.0,8.0,8455.0,8463.0,44840.0,803225.0,848065.0,0.9080006436339836
CZCE,CF,CF,2609,15200.0,1288.0,8413.0,9701.0,158.0,2391.0,2549.0,746550.0,310830.0,1057380.0,0.7997276796080722
CZCE,CF,CF,2609,15400.0,4587.0,11832.0,16419.0,346.0,4039.0,4385.0,1314800.0,848190.0,2162990.0,0.8742072925971865
CZCE,CF,CF,2609,15600.0,4411.0,18137.0,22548.0,181.0,11932.0,12113.0,539380.0,4355180.0,4894560.0,0.934293071209408
CZCE,CF,CF,2609,15800.0,4620.0,16844.0,21464.0,871.0,10236.0,11107.0,1877005.0,6090420.0,7967425.0,0.934161485710933
CZCE,CF,CF,2609,16000.0,26380.0,17800.0,44180.0,12040.0,10838.0,22878.0,18842600.0,10621240.0,29463840.0,0.9767620061340974
CZCE,CF,CF,2609,16200.0,13139.0,7431.0,20570.0,10931.0,2311.0,13242.0,11934525.0,3281620.0,15216145.0,0.9413910029451601
CZCE,CF,CF,2609,16400.0,24984.0,7236.0,32220.0,13227.0,555.0,13782.0,10230065.0,1159950.0,11390015.0,0.9544135385015218
CZCE,CF,CF,2609,16600.0,16609.0,4052.0,20661.0,6947.0,451.0,7398.0,3890320.0,1307900.0,5198220.0,0.9148037314037192
CZCE,CF,CF,2609,16800.0,10545.0,3198.0,13743.0,4349.0,228.0,4577.0,1783090.0,860700.0,2643790.0,0.8687206046957288
CZCE,CF,CF,2609,17000.0,39221.0,2417.0,41638.0,19684.0,147.0,19831.0,6495720.0,721770.0,7217490.0,0.9675182765814327
CZCE,CF,CF,2609,17200.0,12404.0,484.0,12888.0,2783.0,0.0,2783.0,695750.0,0.0,695750.0,0.8179831035491493
CZCE,CF,CF,2609,17400.0,3971.0,205.0,4176.0,1850.0,0.0,1850.0,342250.0,0.0,342250.0,0.6767727462790911
CZCE,CF,CF,2609,17600.0,3162.0,174.0,3336.0,1444.0,0.0,1444.0,209380.0,0.0,209380.0,0.6227967544154676
CZCE,CF,CF,2609,17800.0,4406.0,28.0,4434.0,719.0,0.0,719.0,82685.0,0.0,82685.0,0.5778312948663811
CZCE,CF,CF,2609,18000.0,4249.0,25.0,4274.0,1049.0,0.0,1049.0,99325.0,0.0,99325.0,0.6101124727403293
CZCE,CF,CF,2609,18200.0,1055.0,38.0,1093.0,349.0,0.0,349.0,27160.0,0.0,27160.0,0.3244757962220307
CZCE,CF,CF,2609,18400.0,16801.0,20.0,16821.0,1696.0,0.0,1696.0,84800.0,0.0,84800.0,0.7513006963766433
CZCE,CF,CF,2611,14000.0,36.0,568.0,604.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11737405030158142
CZCE,CF,CF,2611,14200.0,49.0,644.0,693.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1326633064999285
CZCE,CF,CF,2611,14400.0,34.0,580.0,614.0,0.0,416.0,416.0,0.0,47840.0,47840.0,0.2844420335858976
CZCE,CF,CF,2611,14600.0,26.0,424.0,450.0,0.0,368.0,368.0,0.0,53360.0,53360.0,0.25208297352082976
CZCE,CF,CF,2611,14800.0,23.0,1021.0,1044.0,0.0,1082.0,1082.0,0.0,200170.0,200170.0,0.4527165413623927
CZCE,CF,CF,2611,15000.0,57.0,1409.0,1466.0,0.0,500.0,500.0,0.0,127500.0,127500.0,0.42987645708569644
CZCE,CF,CF,2611,15200.0,445.0,583.0,1028.0,4.0,513.0,517.0,23960.0,171855.0,195815.0,0.3959566930703624
CZCE,CF,CF,2611,15400.0,463.0,2126.0,2589.0,1.0,919.0,920.0,5665.0,413550.0,419215.0,0.5749613571700681
CZCE,CF,CF,2611,15600.0,461.0,1501.0,1962.0,69.0,389.0,458.0,322920.0,245070.0,567990.0,0.4978115230832289
CZCE,CF,CF,2611,15800.0,470.0,658.0,1128.0,193.0,224.0,417.0,753665.0,201600.0,955265.0,0.42826625653550354
CZCE,CF,CF,2611,16000.0,629.0,781.0,1410.0,90.0,226.0,316.0,295650.0,276850.0,572500.0,0.4325704154791133
CZCE,CF,CF,2611,16200.0,344.0,446.0,790.0,140.0,291.0,431.0,368200.0,481605.0,849805.0,0.38546304718701685
CZCE,CF,CF,2611,16400.0,1920.0,432.0,2352.0,391.0,248.0,639.0,864110.0,539400.0,1403510.0,0.5599376012811942
CZCE,CF,CF,2611,16600.0,319.0,319.0,638.0,210.0,243.0,453.0,384300.0,676755.0,1061055.0,0.36821286363099226
CZCE,CF,CF,2611,16800.0,746.0,399.0,1145.0,466.0,153.0,619.0,701330.0,530145.0,1231475.0,0.4598439355444621
CZCE,CF,CF,2611,17000.0,688.0,414.0,1102.0,330.0,75.0,405.0,424050.0,317625.0,741675.0,0.418750537136369
CZCE,CF,CF,2611,17200.0,957.0,343.0,1300.0,252.0,54.0,306.0,268380.0,280800.0,549180.0,0.4196985285975535
CZCE,CF,CF,2611,17400.0,579.0,162.0,741.0,211.0,0.0,211.0,193065.0,0.0,193065.0,0.3108823699241646
CZCE,CF,CF,2611,17600.0,432.0,16.0,448.0,301.0,0.0,301.0,239295.0,0.0,239295.0,0.2823326215932126
CZCE,CF,CF,2611,17800.0,661.0,16.0,677.0,277.0,0.0,277.0,193900.0,0.0,193900.0,0.31291194485923307
CZCE,CF,CF,2611,18000.0,1932.0,7.0,1939.0,304.0,0.0,304.0,183920.0,0.0,183920.0,0.44894411643546395
CZCE,CF,CF,2611,18200.0,1057.0,4.0,1061.0,410.0,0.0,410.0,223450.0,0.0,223450.0,0.3889578500827603
CZCE,CF,CF,2611,18400.0,754.0,23.0,777.0,958.0,0.0,958.0,464630.0,0.0,464630.0,0.42582230671560944
CZCE,CF,CF,2611,18600.0,399.0,18.0,417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0855558684833996
CZCE,CF,CF,2611,18800.0,561.0,22.0,583.0,116.0,0.0,116.0,45240.0,0.0,45240.0,0.22681778826249605
CZCE,CF,CF,2701,13000.0,79.0,738.0,817.0,0.0,109.0,109.0,0.0,14715.0,14715.0,0.23197190869756001
CZCE,CF,CF,2701,13200.0,70.0,318.0,388.0,0.0,73.0,73.0,0.0,10950.0,10950.0,0.1471010259511239
