trade_date,market_type,asset_class,option_product,underlying,commodity,exchange,contract_month,underlying_price,call_wall,put_wall,call_oi_wall,put_oi_wall,max_gamma_strike,gex_flip,price_wall,net_gex,total_abs_gex,total_oi,total_volume,total_amount,call_gex_total,put_gex_abs_total,gex_ratio,call_gex_share,put_gex_share,call_wall_distance,put_wall_distance,price_wall_distance,gamma_regime,futures_code,futures_price,futures_volume,futures_open_interest,futures_oi_change,futures_amount,futures_pct_change,volume_wall,amount_wall,call_oi_wall_distance,put_oi_wall_distance,volume_wall_distance,amount_wall_distance,call_oi_total,put_oi_total,oi_bias,oi_wall_width,oi_wall_width_ratio,nearest_wall_type,nearest_wall,nearest_wall_distance,commodity_price_state,iv_surface_bias,delta_bias,normalized_net_gex,assumed_dealer_gamma_ratio,vega_risk_ratio,theta_burn_rate,rho_risk_ratio,atm_iv,call_25_delta_iv,put_25_delta_iv,option_market_value,total_time_value
2026-07-29,COMMODITY,COMMODITY,TA,TA,TA,CZCE,2612,5568.0,,,6000.0,4800.0,,,6400.0,,,1292.0,20.0,9115.0,,,,,,,,0.14942528735632177,,TA612,5568.0,26037.0,94042.0,-1287.0,724349350.0,9.1e-05,6400.0,6400.0,0.07758620689655182,-0.13793103448275867,0.14942528735632177,0.14942528735632177,610.0,682.0,-0.05572755417956656,1200.0,0.21551724137931033,call_oi_wall,6000.0,0.07758620689655182,below_price_wall,,,,,,,,,,,,
2026-07-29,COMMODITY,COMMODITY,TA,TA,TA,CZCE,2701,5514.0,,,7400.0,5000.0,,,7400.0,,,26168.0,5578.0,3840278.0,,,,,,,,0.3420384475879579,,TA701,5514.0,158888.0,374814.0,-4670.0,4378953300.0,9.2e-05,6500.0,6500.0,0.3420384475879579,-0.09321726514327167,0.17881755531374677,0.17881755531374677,14453.0,11715.0,0.10463161112809538,2400.0,0.4352557127312296,put_oi_wall,5000.0,-0.09321726514327167,below_price_wall,,,,,,,,,,,,
2026-07-29,COMMODITY,COMMODITY,TA,TA,TA,CZCE,2703,5496.0,,,6300.0,4700.0,,,4750.0,,,570.0,4.0,1948.0,,,,,,,,-0.1357350800582242,,TA703,5496.0,7038.0,104307.0,438.0,193545000.0,9.599999999999999e-05,4750.0,4750.0,0.14628820960698685,-0.1448326055312955,-0.1357350800582242,-0.1357350800582242,250.0,320.0,-0.12280701754385964,1600.0,0.29112081513828236,price_wall,4750.0,-0.1357350800582242,above_price_wall,,,,,,,,,,,,
2026-07-29,COMMODITY,COMMODITY,UR,UR,UR,CZCE,2609,1742.0,,,2160.0,1800.0,,,1800.0,,,157754.0,32537.0,6197000.0,,,,,,,,0.03329506314580932,,UR609,1742.0,102949.0,248721.0,-1416.0,3590861200.0,4.6e-05,1800.0,1760.0,0.2399540757749712,0.03329506314580932,0.03329506314580932,0.010332950631458004,108201.0,49553.0,0.37176870317075955,360.0,0.2066590126291619,amount_wall,1760.0,0.010332950631458004,below_price_wall,,,,,,,,,,,,
2026-07-29,COMMODITY,COMMODITY,UR,UR,UR,CZCE,2610,1724.0,,,1840.0,1720.0,,,1720.0,,,16352.0,5009.0,1616250.0,,,,,,,,-0.002320185614849146,,UR610,1724.0,44697.0,32115.0,-1182.0,1537576800.0,4.7000000000000004e-05,1760.0,1760.0,0.06728538283062635,-0.002320185614849146,0.02088167053364276,0.02088167053364276,9790.0,6562.0,0.19740704500978473,120.0,0.06960556844547564,put_oi_wall,1720.0,-0.002320185614849146,near_price_wall,,,,,,,,,,,,
2026-07-29,COMMODITY,COMMODITY,UR,UR,UR,CZCE,2611,1754.0,,,1940.0,1600.0,,,1920.0,,,7849.0,1465.0,454140.0,,,,,,,,0.09464082098061577,,UR611,1754.0,62257.0,64881.0,-5184.0,2181485300.0,4.6e-05,1900.0,1820.0,0.10604332953249718,-0.08779931584948686,0.08323831242873436,0.03762827822120873,4709.0,3140.0,0.19989807618804945,340.0,0.19384264538198404,amount_wall,1820.0,0.03762827822120873,below_price_wall,,,,,,,,,,,,
2026-07-29,COMMODITY,COMMODITY,UR,UR,UR,CZCE,2612,1752.0,,,1920.0,1520.0,,,1920.0,,,578.0,56.0,17030.0,,,,,,,,0.09589041095890405,,UR612,1752.0,15162.0,28578.0,-507.0,530973240.0,4.6e-05,1960.0,1920.0,0.09589041095890405,-0.13242009132420096,0.11872146118721472,0.09589041095890405,425.0,153.0,0.47058823529411764,400.0,0.228310502283105,call_oi_wall,1920.0,0.09589041095890405,below_price_wall,,,,,,,,,,,,
2026-07-29,COMMODITY,COMMODITY,UR,UR,UR,CZCE,2701,1756.0,,,2000.0,1600.0,,,2000.0,,,5043.0,853.0,2014580.0,,,,,,,,0.1389521640091116,,UR701,1756.0,17423.0,100127.0,1563.0,611547300.0,4e-05,1860.0,1860.0,0.1389521640091116,-0.08883826879271073,0.059225512528473745,0.059225512528473745,3404.0,1639.0,0.34999008526670633,400.0,0.22779043280182232,volume_wall,1860.0,0.059225512528473745,below_price_wall,,,,,,,,,,,,
2026-07-29,COMMODITY,COMMODITY,UR,UR,UR,CZCE,2703,1803.0,,,1980.0,1620.0,,,1920.0,,,502.0,782.0,2103030.0,,,,,,,,0.06489184692179695,,UR703,1803.0,1839.0,26022.0,-36.0,66277560.0,3.9e-05,1720.0,1920.0,0.09816971713810307,-0.1014975041597338,-0.04603438713255681,0.06489184692179695,243.0,259.0,-0.03187250996015936,360.0,0.19966722129783693,volume_wall,1720.0,-0.04603438713255681,below_price_wall,,,,,,,,,,,,
2026-07-29,COMMODITY,COMMODITY,ZC,ZC,ZC,CZCE,2609,,,,560.0,560.0,,,560.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,560.0,560.0,,,,,0.0,0.0,,0.0,,,,,unavailable,,,,,,,,,,,,
