trade_date,market_type,underlying,contract_month,underlying_price,call_wall,put_wall,price_wall,gex_flip,gamma_regime,net_gex,total_abs_gex,price_wall_distance,future_price_1d,future_price_3d,future_price_5d,future_return_1d,future_return_3d,future_return_5d,touch_call_wall,break_call_wall_1d,call_wall_reject_1d,touch_put_wall,break_put_wall_1d,put_wall_bounce_1d,near_price_wall,price_wall_magnet_1d,gamma_flip_cross_1d,next_abs_return_1d,next_abs_return_3d,next_abs_return_5d,event_quality
2026-07-20,COMMODITY,UR,2612,,,,1920.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,UR,2701,,,,2000.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,UR,2703,,,,1860.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,ZC,2609,,,,560.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,ZC,2610,,,,560.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,a,2609,,,,4600.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,a,2611,,,,4800.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,a,2701,,,,4000.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,a,2703,,,,4400.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,a,2705,,,,5600.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,a,2707,,,,5400.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,ad,2608,,,,23000.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,ad,2609,,,,23400.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,ag,2608,,,,15000.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,ag,2609,,,,13000.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,ag,2610,,,,15000.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,ag,2612,,,,35900.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,al,2608,,,,23000.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,al,2609,,,,24000.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,al,2610,,,,25000.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,al,2611,,,,19900.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,al,2612,,,,21000.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,al,2701,,,,26400.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,ao,2608,,,,2800.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,ao,2609,,,,3000.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,ao,2610,,,,2800.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,ao,2611,,,,2850.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,ao,2701,,,,3500.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,au,2608,,,,920.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,au,2609,,,,952.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,au,2610,,,,1000.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,au,2612,,,,840.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,b,2609,,,,3800.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,b,2610,,,,4000.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,b,2611,,,,4000.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,b,2612,,,,3200.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,b,2701,,,,3700.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,b,2702,,,,3600.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,b,2703,,,,3700.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,b,2704,,,,4100.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,b,2705,,,,3400.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,b,2706,,,,3600.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,b,2707,,,,3200.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,bc,2608,,,,89000.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,bc,2609,,,,96000.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,br,2608,,,,13000.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,br,2609,,,,14000.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,br,2610,,,,12800.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,br,2611,,,,11800.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,bu,2608,,,,4500.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,bu,2609,,,,3500.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,bu,2610,,,,4000.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,bu,2612,,,,3750.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,bz,2609,,,,8200.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,bz,2610,,,,7200.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,bz,2611,,,,8000.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,bz,2612,,,,7000.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,bz,2701,,,,7800.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,bz,2702,,,,6400.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,bz,2703,,,,6600.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,bz,2704,,,,7200.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,bz,2705,,,,7400.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,bz,2706,,,,5400.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,c,2609,,,,2300.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,c,2611,,,,2420.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,c,2701,,,,2400.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,c,2703,,,,2600.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,c,2705,,,,2320.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,c,2707,,,,2080.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,cs,2609,,,,2650.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,cs,2611,,,,2500.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,cs,2701,,,,2700.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,cs,2703,,,,2400.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,cs,2705,,,,2400.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,cs,2707,,,,2400.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,cu,2608,,,,106000.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,cu,2609,,,,90000.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,cu,2610,,,,98000.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,cu,2611,,,,104000.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,cu,2612,,,,110000.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,cu,2701,,,,116000.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,cu,2702,,,,120000.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,cu,2703,,,,114000.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,cu,2704,,,,112000.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,eb,2609,,,,10000.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,eb,2610,,,,9200.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,eb,2611,,,,7900.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,eb,2612,,,,7800.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,eb,2701,,,,7200.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,eb,2702,,,,7000.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
