underlying,contract_month,strike,underlying_price,call_gex,put_gex,net_gex,total_abs_gex,call_oi,put_oi,total_oi,call_volume,put_volume,total_volume,avg_iv,avg_delta,avg_gamma,liquidity_adjusted_call_gex,liquidity_adjusted_put_gex,liquidity_adjusted_net_gex,liquidity_adjusted_abs_gex,active_gex,stable_gex,avg_spread_bps,avg_liquidity_score,avg_pricing_quality_score,avg_volume_oi_ratio,avg_oi_change_rate,price_wall_score,in_price_range
科创50ETF华夏,9月,2.15,1.815,3389346.142182,-1000731.7273635,2388614.4148185,4390077.8695455,12028.0,4453.0,16481.0,3698.0,751.0,4449.0,0.602,-0.08734999999999998,0.7688,474621.88413268747,-534119.8303787442,-59497.9462460567,1008741.7145114316,873278.2938824999,1515336.120936,205.91854576777268,0.5304850900021036,0.6096300463446649,0.23804981654080445,-0.026231531203375735,0.576268895006426,False
科创50ETF华夏,9月,2.2,1.815,6164715.419478,-1074143.9267954999,5090571.4926825,7238859.3462735005,22911.0,4882.0,27793.0,10977.0,630.0,11607.0,0.6087,-0.1187,0.7423500000000001,852402.0985813922,-646241.4301915492,206160.66838984296,1498643.5287729413,2814993.2038635,2275578.288819,126.35370430874372,0.5705490983200434,0.6055778611387894,0.30408015441759556,-0.0263225905648821,0.7020318099562513,False
科创50ETF华夏,9月,2.25,1.815,2212501.3250175007,-700689.9589470001,1511811.3660705006,2913191.2839645008,8635.0,3309.0,11944.0,8045.0,495.0,8540.0,0.61975,-0.14654999999999999,0.7103,367633.4084838636,-299763.8793897681,67869.52909409546,667397.2878736317,1956511.0533375004,-444699.687267,246.6281120423489,0.5475220277131738,0.590455282017432,0.5406327219390608,0.0034462226475625926,0.5372818501349905,False
科创50ETF华夏,9月,2.3,1.815,1578080.960973,-442835.946531,1135245.0144419998,2020916.907504,6492.0,2124.0,8616.0,8003.0,99.0,8102.0,0.61865,-0.17645,0.6854,236845.0406272662,-178373.90832341815,58471.13230384805,415218.94895068434,1557440.30244825,-422195.28800625005,265.7475095640312,0.5189462484693024,0.5914555980564457,0.6396790835134769,-0.027166673621604527,0.46649805056418847,False
科创50ETF华夏,9月,2.35,1.815,1193431.47063525,-335510.39251125,857921.078124,1528941.8631465,5191.0,1665.0,6856.0,7196.0,58.0,7254.0,0.6229499999999999,-0.2026,0.6548,150861.0701752572,-136641.0152926963,14220.054882560886,287502.08546795347,1181744.02152675,-323822.94340275,482.28084199307244,0.5174385896688056,0.5735920046325607,0.7105401298042407,0.06690557865263318,0.41339290107906373,False
科创50ETF华夏,9月,2.4,1.815,2168142.9382800004,-122935.20623999998,2045207.7320400004,2291078.1445200006,10033.0,640.0,10673.0,9332.0,26.0,9358.0,0.6348,-0.22364999999999996,0.61955,208838.30585214176,-50587.24882802677,158251.057024115,259425.5546801685,2011661.7823665005,33545.94967350004,318.96451680597727,0.45564616704626437,0.5654573585839832,0.4853777845609489,0.041164817108213334,0.502857371158947,False
科创50ETF华夏,9月,2.45,1.815,1646607.82473,-102530.5789365,1544077.2457935,1749138.4036665,8040.0,611.0,8651.0,20022.0,28.0,20050.0,0.6697,-0.24055000000000004,0.56555,90376.92138323875,-40864.96019644241,49511.96118679634,131241.88157968115,1641909.205728,-97831.95993449999,534.0622385130409,0.4918657607281103,0.49391327996749546,1.2680625106871535,0.029798517390489856,0.4810049455402693,False
科创50ETF华夏,9月,2.5,1.815,1749847.7820779998,-84421.07113274999,1665426.7109452498,1834268.8532107498,9306.0,461.0,9767.0,28219.0,56.0,28275.0,0.5861000000000001,-0.2953,0.56335,116656.51880520029,-36247.409262255016,80409.10954294528,152903.9280674553,1739592.7278839997,-74166.01693874999,499.12792790870714,0.5443203996114587,0.49490126731506057,1.5769098890320103,0.002385489032277404,0.5037510281310154,False
科创50ETF华夏,9月,2.55,1.815,8728863.601689,-83428.91644725,8645434.68524175,8812292.51813625,50742.0,521.0,51263.0,57580.0,45.0,57625.0,0.6727000000000001,-0.27969999999999995,0.50415,852230.430571202,-38242.096398994036,813988.3341722079,890472.526970196,8721657.64921275,-76222.963971,180.63212320018818,0.575366176206158,0.5499810081775685,0.6105662600407269,-0.011556421613879073,0.8032688880146832,False
科创50ETF易方达,12月,1.25,1.76,54124.271872,-513064.78080000007,-458940.50892800005,567189.052672,779.0,7124.0,7903.0,4.0,2761.0,2765.0,0.29955,0.4101,0.2284,11401.677352920226,-41636.370030734026,-30234.6926778138,53038.04738365425,-198567.09452800002,-260373.41440000007,415.7591715879214,0.27926558705304305,0.49938303453638244,0.1963489774751171,-0.000904161083482468,0.31512465397413275,False
科创50ETF易方达,12月,1.3,1.76,16784.03584,-139747.232768,-122963.19692799999,156531.26860799998,208.0,1718.0,1926.0,1.0,488.0,489.0,0.30025,0.3918,0.26155,3701.387557878217,-16676.274375317786,-12974.886817439568,20377.661933196003,-39614.679808,-83348.51711999999,589.7661647791684,0.3109104952090985,0.5480193113945564,0.14442945732963194,0.02396980016367044,0.10496943110186871,False
科创50ETF易方达,12月,1.35,1.76,20052.747263999998,-99314.01216,-79261.26489600001,119366.75942399999,219.0,1098.0,1317.0,0.0,428.0,428.0,0.5468,0.37829999999999997,0.29379999999999995,5734.612709942741,-18239.15346345255,-12504.540753509807,23973.766173395292,-38712.565760000005,-40548.699135999996,335.7590637387151,0.3760193428159496,0.6847383900928792,0.19489981785063754,-0.06532066508313539,0.07878850886626704,False
