underlying,contract_month,iv_surface_bias,delta_bias,normalized_net_gex,assumed_dealer_gamma_ratio,vega_risk_ratio,theta_burn_rate,rho_risk_ratio,atm_iv,call_25_delta_iv,put_25_delta_iv,option_market_value,total_time_value,trade_date,front_month,primary_month,expiring_month,next_month,far_month,primary_selection_reason,primary_selection_note,primary_selection_confidence,primary_selection_dte,is_primary_analysis_month,is_expiring_microstructure,analysis_month_role
创业板ETF易方达,12月,0.23012381368008755,-0.025516945144907332,0.15984432637447027,0.15984432637447027,0.03578223000202598,0.009875678297879695,-0.0031780710120849717,0.33547158273381295,0.2995,0.37670000000000003,409489906.0,263376542.0,2026-09-18,9月,9月,,10月,3月,front_month_default,9月 DTE=5，默认使用前月,medium,5.0,False,False,other_month
创业板ETF易方达,3月,0.2992227055551594,0.17061508849400772,0.22468119788406557,0.22468119788406557,0.03553140868561164,0.0038802197420831257,-0.000451646092775735,0.35057499999999997,0.2932,0.3981,89071954.0,72584549.0,2026-09-18,9月,9月,,10月,3月,front_month_default,9月 DTE=5，默认使用前月,medium,5.0,False,False,far_month
创业板ETF易方达,9月,0.03490606684402378,0.0034275085399011304,0.1497518580660901,0.1497518580660901,0.01320728256331557,0.16767211654015982,-3.934962786229001e-05,0.2521051724137931,0.24600000000000002,0.2548,494490064.0,88569640.0,2026-09-18,9月,9月,,10月,3月,front_month_default,9月 DTE=5，默认使用前月,medium,5.0,True,False,primary_analysis
沪深300ETF华泰柏瑞,10月,-4.082304640141079,-0.12300231858274074,-0.008495454088082752,-0.008495454088082752,0.07319658449754976,0.022733786210494464,-0.004504537283042462,0.03049747899159663,0.1246,0.0001,238427819.0,155275807.0,2026-09-18,9月,9月,,10月,3月,front_month_default,9月 DTE=5，默认使用前月,medium,5.0,False,False,next_month
沪深300ETF华泰柏瑞,12月,0.45126872217122443,-0.0010747012758575267,0.2912801636479541,0.2912801636479541,0.05006678847688617,0.009969056414863623,-0.002802538190920383,0.18370428954423593,0.1441,0.22699999999999998,337414492.0,170459563.0,2026-09-18,9月,9月,,10月,3月,front_month_default,9月 DTE=5，默认使用前月,medium,5.0,False,False,other_month
沪深300ETF华泰柏瑞,3月,0.46570247933884296,0.19327251775396828,0.4214461242850087,0.4214461242850087,0.055846788178446995,0.004427535551011869,0.00345936838716434,0.242,0.1303,0.243,86873662.0,54831632.0,2026-09-18,9月,9月,,10月,3月,front_month_default,9月 DTE=5，默认使用前月,medium,5.0,False,False,far_month
沪深300ETF华泰柏瑞,9月,0.25294772823289935,-0.12813273968130376,0.0730643250548414,0.0730643250548414,0.017349947071763305,0.19155982875392313,-0.0006638597655745398,0.14074054054054055,0.1158,0.1514,223822873.0,25495241.0,2026-09-18,9月,9月,,10月,3月,front_month_default,9月 DTE=5，默认使用前月,medium,5.0,True,False,primary_analysis
沪深300ETF嘉实,10月,0.3005513142727565,0.1043930827292604,0.19548759519778905,0.19548759519778905,0.06255146371797332,0.02293126210872343,0.0013461457609250595,0.17002088353413655,0.1317,0.18280000000000002,24879178.0,13364332.0,2026-09-18,9月,9月,,10月,3月,front_month_default,9月 DTE=5，默认使用前月,medium,5.0,False,False,next_month
沪深300ETF嘉实,12月,0.36256401697648144,-0.006273827797702812,0.34921143605311733,0.34921143605311733,0.03918613667543637,0.01062563944133956,-0.003118434602350042,0.18589820512820512,0.1589,0.2263,71549360.0,27604174.0,2026-09-18,9月,9月,,10月,3月,front_month_default,9月 DTE=5，默认使用前月,medium,5.0,False,False,other_month
沪深300ETF嘉实,3月,0.44009246486719233,0.11134738291666266,0.41146274529903826,0.41146274529903826,0.044701341695793935,0.005107836422039068,-0.0019331825323940788,0.253128623853211,0.1363,0.2477,35848141.0,17233324.0,2026-09-18,9月,9月,,10月,3月,front_month_default,9月 DTE=5，默认使用前月,medium,5.0,False,False,far_month
