trade_date,market_type,underlying,commodity,exchange,contract_month,underlying_price,call_wall,put_wall,call_oi_wall,put_oi_wall,max_gamma_strike,gex_flip,price_wall,net_gex,total_abs_gex,total_oi,total_volume,total_amount,call_gex_total,put_gex_abs_total,gex_ratio,call_gex_share,put_gex_share,call_wall_distance,put_wall_distance,price_wall_distance,gamma_regime
2026-07-13,COMMODITY,FG,FG,CZCE,2705,,,,1280.0,1280.0,,,1040.0,,,296.0,284.0,808930.0,,,,,,,,,
2026-07-13,COMMODITY,MA,MA,CZCE,2608,,,,2600.0,2300.0,,,2550.0,,,561261.0,1497066.0,183705525.0,,,,,,,,,
2026-07-13,COMMODITY,MA,MA,CZCE,2609,,,,3650.0,1900.0,,,2600.0,,,292479.0,243658.0,97916575.0,,,,,,,,,
2026-07-13,COMMODITY,MA,MA,CZCE,2610,,,,2600.0,2100.0,,,2100.0,,,29067.0,14595.0,7755890.0,,,,,,,,,
2026-07-13,COMMODITY,MA,MA,CZCE,2611,,,,3000.0,2200.0,,,3000.0,,,1689.0,156.0,46115.0,,,,,,,,,
2026-07-13,COMMODITY,MA,MA,CZCE,2612,,,,2600.0,2125.0,,,2600.0,,,66.0,0.0,0.0,,,,,,,,,
2026-07-13,COMMODITY,MA,MA,CZCE,2701,,,,3300.0,2350.0,,,3300.0,,,6448.0,184.0,74285.0,,,,,,,,,
2026-07-13,COMMODITY,MA,MA,CZCE,2703,,,,2550.0,2100.0,,,2100.0,,,122.0,3.0,1920.0,,,,,,,,,
2026-07-13,COMMODITY,MA,MA,CZCE,2705,,,,2600.0,2100.0,,,2600.0,,,193.0,8.0,7225.0,,,,,,,,,
2026-07-13,COMMODITY,OI,OI,CZCE,2609,,,,11200.0,9500.0,,,10000.0,,,44800.0,60213.0,49577115.0,,,,,,,,,
2026-07-13,COMMODITY,OI,OI,CZCE,2611,,,,11400.0,9000.0,,,10600.0,,,5681.0,3983.0,8506935.0,,,,,,,,,
2026-07-13,COMMODITY,OI,OI,CZCE,2701,,,,11200.0,9200.0,,,11200.0,,,3780.0,759.0,1298005.0,,,,,,,,,
2026-07-13,COMMODITY,OI,OI,CZCE,2703,,,,10600.0,9300.0,,,9700.0,,,379.0,438.0,1589030.0,,,,,,,,,
