trade_date,market_type,source_file,underlying,name,code,expiry,contract_month,raw_strike,strike,option_type,last_price,bid_price,ask_price,bid_volume,ask_volume,volume,open_interest,oi_change,amount,prev_settle,open_price,high_price,low_price,iv,delta,gamma,vega,theta,rho,theoretical_price,moneyness,leverage,real_leverage,parse_error
2026-07-15,ETF,中证500ETF南方期权_.xls,中证500ETF南方,500ETF购7月9086,10011724,,7月,9086.0,9.086,call,0.0019,0.0018,0.0019,30.0,94.0,17014.0,53769.0,-6600.0,449252.0,0.0047,0.0049,0.009,0.0007,0.0032689999999999998,0.0139,0.09,0.0004,-0.0009,0.0,0.0105,-0.001029,4290.0,59.72,
2026-07-15,ETF,中证500ETF南方期权_.xls,中证500ETF南方,500ETF沽7月9086,10011733,,7月,9086.0,9.086,put,0.9359,0.9155,0.9479,1.0,1.0,2608.0,7814.0,-523.0,23657142.0,0.8339,0.8513,0.9735,0.7555,0.004267,-0.9527,0.1916,0.0012,-0.0021,-0.0019,0.9365,0.001029,8.71,-8.3,
2026-07-15,ETF,中证500ETF南方期权_.xls,中证500ETF南方,500ETF购7月9250,10012043,,7月,9250.0,9.25,call,0.001,0.0007,0.0013,2.0,1.0,1693.0,732.0,732.0,34741.0,0.0035,0.0022,0.0032,0.0005,1e-06,0.0268,0.1188,0.0007,-0.002,0.0,0.0052,-0.001188,8151.0,218.35,
2026-07-15,ETF,中证500ETF南方期权_.xls,中证500ETF南方,500ETF沽7月9250,10012052,,7月,9250.0,9.25,put,1.1164,1.0755,1.1109,1.0,1.0,243.0,93.0,93.0,2595608.0,0.9922,1.02,1.1164,0.9399,1e-06,-0.9732,0.1188,0.0007,-0.0009,-0.002,1.0951,0.001188,7.3,-7.11,
2026-07-15,ETF,中证500ETF南方期权_.xls,中证500ETF南方,500ETF购7月9332,10011725,,7月,9332.0,9.332,call,0.0009,0.0007,0.0009,6.0,2035.0,11623.0,37057.0,-7976.0,230081.0,0.0035,0.003,0.0054,0.0006,0.0036119999999999998,0.0065,0.0417,0.0002,-0.0005,0.0,0.0036,-0.001266,9056.67,58.63,
2026-07-15,ETF,中证500ETF南方期权_.xls,中证500ETF南方,500ETF沽7月9332,10011734,,7月,9332.0,9.332,put,1.1839,1.1785,1.1948,1.0,1.0,575.0,1490.0,-79.0,6449974.0,1.0737,1.1055,1.2153,1.0176,0.0052959999999999995,-0.9529,0.1538,0.0012,-0.0028,-0.002,1.1754,0.001266,6.88,-6.56,
2026-07-15,ETF,中证500ETF南方期权_.xls,中证500ETF南方,500ETF购7月9578,10011771,,7月,9578.0,9.578,call,0.0011,0.0007,0.0011,11.0,4.0,8123.0,21418.0,-2983.0,127392.0,0.0021,0.0015,0.0025,0.0008,0.004320000000000001,0.0067,0.0358,0.0002,-0.0006,0.0,0.0011,-0.00149,7410.0,49.35,
2026-07-15,ETF,中证500ETF南方期权_.xls,中证500ETF南方,500ETF沽7月9578,10011772,,7月,9578.0,9.578,put,1.4271,1.3987,1.4401,1.0,1.0,79.0,308.0,16.0,1106023.0,1.3297,1.3601,1.4584,1.2706,0.0058460000000000005,-0.9648,0.1101,0.0009,-0.0023,-0.002,1.4187,0.00149,5.71,-5.51,
2026-07-15,ETF,中证500ETF南方期权_.xls,中证500ETF南方,500ETF购7月9823,10011821,,7月,9823.0,9.823,call,0.0006,0.0006,0.0009,4.0,1.0,2021.0,15373.0,-961.0,20928.0,0.0015,0.0009,0.0017,0.0006,0.004605,0.0036,0.0194,0.0001,-0.0004,0.0,0.0003,-0.001702,13585.0,48.77,
2026-07-15,ETF,中证500ETF南方期权_.xls,中证500ETF南方,500ETF沽7月9823,10011822,,7月,9823.0,9.823,put,1.665,1.6419,1.6848,1.0,1.0,183.0,279.0,-44.0,3033359.0,1.5773,1.6006,1.71,1.4544,0.005462,-0.9879,0.0476,0.0004,-0.0001,-0.0021,1.6626,0.001702,4.9,-4.84,
